  PID TTY           TIME CMD
  639 ??         0:01.94 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/79.0.3945.130/Helpers/Google Chrome Helper.app/Contents/MacOS/Google Chrome Helper --type=utility --field-trial-handle=1718379636,191660753521147947,3977973720028226457,131072 --enable-features=CookieDeprecationMessages,CookiesWithoutSameSiteMustBeSecure,SameSiteByDefaultCookies --lang=en-US --service-sandbox-type=network --enable-audio-service-sandbox --enable-experimental-web-platform-features --service-request-channel-token=4941675652822771499 --seatbelt-client=34
  640 ??         0:00.01 /System/Library/PrivateFrameworks/CharacterPicker.framework/Versions/A/XPCServices/com.apple.CharacterPicker.FileService.xpc/Contents/MacOS/com.apple.CharacterPicker.FileService
  643 ??         0:00.02 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/79.0.3945.130/XPCServices/AlertNotificationService.xpc/Contents/MacOS/AlertNotificationService
  644 ??         0:00.15 /System/Library/PrivateFrameworks/FileProvider.framework/Support/fileproviderd
  645 ??         0:00.08 /System/Library/Frameworks/VideoToolbox.framework/Versions/A/XPCServices/VTDecoderXPCService.xpc/Contents/MacOS/VTDecoderXPCService
  646 ??         0:00.07 /System/Library/PrivateFrameworks/CloudDocs.framework/PlugIns/com.apple.CloudDocs.MobileDocumentsFileProvider.appex/Contents/MacOS/com.apple.CloudDocs.MobileDocumentsFileProvider
  648 ??         0:00.01 /System/Library/Frameworks/ApplicationServices.framework/Versions/A/Frameworks/HIServices.framework/Versions/A/XPCServices/com.apple.hiservices-xpcservice.xpc/Contents/MacOS/com.apple.hiservices-xpcservice
  650 ??         0:00.19 /System/Library/Frameworks/QuickLook.framework/Versions/A/XPCServices/QuickLookSatellite.xpc/Contents/MacOS/QuickLookSatellite
  653 ??         0:00.06 /usr/libexec/findmydeviced
  654 ??         0:00.53 /System/Library/PrivateFrameworks/HelpData.framework/Versions/A/Resources/helpd
  655 ??         0:00.01 /System/Library/Frameworks/ColorSync.framework/Support/colorsync.useragent
  656 ??         0:00.21 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/corespotlightd
  657 ??         0:00.86 /System/Library/PrivateFrameworks/CoreSuggestions.framework/Versions/A/Support/suggestd
  661 ??         0:00.80 /usr/libexec/swcd
  665 ??         0:00.43 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/79.0.3945.130/Helpers/Google Chrome Helper (Renderer).app/Contents/MacOS/Google Chrome Helper (Renderer) --type=renderer --enable-experimental-web-platform-features --field-trial-handle=1718379636,191660753521147947,3977973720028226457,131072 --enable-features=CookieDeprecationMessages,CookiesWithoutSameSiteMustBeSecure,SameSiteByDefaultCookies --lang=en-US --extension-process --enable-auto-reload --num-raster-threads=4 --enable-zero-copy --enable-gpu-memory-buffer-compositor-resources --enable-main-frame-before-activation --service-request-channel-token=17970054948553040925 --renderer-client-id=4 --no-v8-untrusted-code-mitigations --seatbelt-client=99
  667 ??         0:00.77 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/79.0.3945.130/Helpers/Google Chrome Helper (Renderer).app/Contents/MacOS/Google Chrome Helper (Renderer) --type=renderer --enable-experimental-web-platform-features --field-trial-handle=1718379636,191660753521147947,3977973720028226457,131072 --enable-features=CookieDeprecationMessages,CookiesWithoutSameSiteMustBeSecure,SameSiteByDefaultCookies --lang=en-US --extension-process --enable-auto-reload --num-raster-threads=4 --enable-zero-copy --enable-gpu-memory-buffer-compositor-resources --enable-main-frame-before-activation --service-request-channel-token=1399927430592348776 --renderer-client-id=5 --no-v8-untrusted-code-mitigations --seatbelt-client=100
